user,item,time
11,4643,1230782529
11,170,1230782534
11,531,1230782539
11,616,1230782542
11,2140,1230782563
11,2722,1230782583
11,2313,1230782646
11,2688,1230782656
11,2428,1230782694
11,3113,1230782719
11,1591,1230782724
11,2600,1230782748
11,8169,1230783004
11,2572,1230783041
11,58293,1230783046
11,7541,1230783053
11,1367,1230783065
11,32,1230783095
11,4792,1230783100
11,7444,1230783123
11,53953,1230783161
11,56949,1230783384
11,6502,1230783392
11,53000,1230783397
11,51662,1230783438
11,5151,1230783478
11,35836,1230783482
11,7293,1230783500
11,33585,1230783564
11,8810,1230783579
11,56801,1230783616
11,5377,1230783644
11,344,1230783700
11,19,1230783704
11,410,1230783786
11,2124,1230783788
11,828,1230784021
11,1274,1230784185
11,8977,1230784216
11,1032,1230784254
11,1214,1230784258
11,1200,1230784277
11,1320,1230784317
11,3897,1230784412
11,7173,1230784442
11,1225,1230784460
11,2858,1230784640
11,59418,1230784666
11,45361,1230784705
11,2706,1230784732
11,1321,1230784904
11,2793,1230784958
11,33085,1230785024
11,4235,1230785037
11,3892,1230785081
11,4340,1230785185
11,27660,1230785191
11,43556,1230785199
11,47124,1230785226
11,2294,1230785306
11,48304,1230785341
11,150,1230785343
11,31184,1230785400
11,34338,1230785494
11,1917,1230785499
11,50162,1230785566
11,2827,1230785615
11,27368,1230785619
11,4366,1230785667
11,2153,1230785789
11,30812,1230785798
11,3525,1230785908
11,1270,1230785922
11,2011,1230785925
11,2012,1230785927
11,8973,1230785984
11,1255,1230786024
11,2018,1230786066
11,541,1230787503
11,4878,1230787506
11,7361,1230787509
11,31658,1230787512
11,2571,1230787515
11,7099,1230787521
11,260,1230787560
11,1196,1230787560
11,60069,1230787565
11,160,1230787621
11,1882,1230787636
11,60037,1230787639
11,880,1230787643
11,36509,1230787648
11,405,1230787663
11,3826,1230787667
11,4133,1230787739
11,673,1230787775
11,6541,1230787787
11,611,1230787801
11,172,1230787804
11,4638,1230787823
14,8961,1225308746
14,1396,1225308757
14,471,1225308771
14,2105,1225308809
14,1042,1225308819
14,1947,1225308833
14,1269,1225308877
14,2394,1225308907
14,3114,1225308990
14,2716,1225308996
14,1291,1225309001
14,17,1225309027
14,3751,1225309045
14,3471,1225309048
14,2193,1225309072
14,1682,1225309083
14,1204,1225309101
14,1148,1225309104
14,8376,1225309153
14,27706,1225309158
14,5620,1225309177
14,3397,1225309200
14,3396,1225309203
14,2966,1225309222
14,2414,1225309235
14,1010,1225309283
14,954,1225309290
14,951,1225309294
14,45431,1225309345
14,7161,1225309374
14,6753,1225309380
14,6550,1225309386
14,3723,1225309436
14,26084,1225309696
14,7075,1225309720
14,5667,1225309752
14,5299,1225309761
14,2294,1225309854
14,2094,1225309858
14,2078,1225309886
14,2012,1225309893
14,1262,1225309918
14,1207,1225309931
14,927,1225309940
14,277,1225309974
14,50872,1225310007
14,8984,1225310044
14,8970,1225310046
14,6936,1225310080
14,4499,1225310154
14,3512,1225310197
14,2687,1225310245
14,2125,1225310313
14,2087,1225310319
14,1013,1225310377
14,44022,1225310443
14,8965,1225310484
14,8695,1225310493
14,8633,1225310496
14,7263,1225310522
14,5747,1225310572
14,4366,1225310657
14,6424,1225310675
14,52287,1225310704
14,595,1225310745
14,40339,1225310793
14,5957,1225310819
14,51471,1225310898
14,44709,1225310922
14,150,1225310931
14,1610,1225310936
14,4995,1225310941
14,5380,1225310946
14,5218,1225310960
14,8360,1225310965
14,26133,1225311019
14,745,1225311032
14,25752,1225311048
14,60069,1225311071
14,497,1225311094
14,2501,1225311208
14,37739,1225311219
14,1,1225311239
14,6776,1225311248
14,529,1225311256
14,2324,1225311280
14,1270,1225311286
14,457,1225311292
14,4306,1225311315
14,534,1225311332
14,41566,1225311352
14,1243,1225311360
14,1957,1225311368
14,1246,1225311371
14,6358,1225311380
14,3916,1225311384
14,728,1225311400
14,356,1225311411
14,2083,1225311420
14,1177,1225311445
18,1952,1195573195
18,1283,1195573248
18,3507,1195573347
18,4280,1195573368
18,51084,1195573567
18,593,1195573661
18,318,1195573672
18,356,1195573680
18,527,1195573707
18,588,1195573712
18,608,1195573716
18,2858,1195573728
18,42197,1195573783
18,52375,1195573825
18,44555,1195573861
18,6016,1195573866
18,4973,1195573873
18,31410,1195573876
18,43376,1195573879
18,8645,1195573898
18,27803,1195573901
18,7767,1195573904
18,44204,1195573925
18,7323,1195573939
18,44694,1195573942
18,5878,1195573950
18,5225,1195573954
18,5608,1195573993
18,6291,1195573999
18,5477,1195574043
18,41527,1195574053
18,5613,1195574142
18,30749,1196423058
18,55052,1196423210
18,1305,1196423234
18,1211,1196423259
18,1209,1196423372
18,7034,1196423419
18,7361,1196423436
18,4967,1196423446
18,1252,1196423490
18,3083,1196423511
18,1247,1196423551
18,7234,1196423559
18,1201,1196423585
18,1206,1196423622
18,45950,1196423629
18,56788,1204200841
18,55820,1206550220
18,6197,1211218352
18,3426,1234208115
18,61075,1234303868
18,2289,1234304051
18,59118,1234304461
18,7456,1236292440
18,1641,1236292683
18,6942,1236293050
18,57792,1236293178
18,1230,1236293194
18,3812,1236293215
18,3967,1236293267
18,2997,1236293533
18,6711,1236293555
18,1221,1236356224
18,858,1236356241
18,2762,1236356454
18,64701,1237115721
18,51174,1239827838
18,59018,1243463620
18,4428,1262461295
18,69122,1262461322
18,1784,1262461363
18,8254,1263940777
18,63062,1264288772
18,186,1267347706
18,60482,1267347729
18,71033,1283426140
25,261,1277961618
25,22,1277961630
25,2161,1277961642
25,3255,1277961646
25,372,1277961712
25,1093,1277961784
25,428,1277961902
25,175,1277961915
25,2141,1277961929
25,4979,1277962279
25,60293,1277962326
25,39,1277962345
25,54503,1277962380
25,3686,1277962413
25,8910,1277962425
25,5225,1277962453
25,1126,1277962464
25,1721,1277962535
25,296,1277962554
25,1704,1277962645
25,3949,1277962748
25,356,1277962776
25,63082,1277962801
25,778,1277962804
25,593,1277963317
25,480,1277963321
25,318,1277963325
25,110,1277963349
25,592,1277963366
25,589,1277963369
25,590,1277963382
25,527,1277963390
25,32,1277963396
25,2571,1277963409
25,50,1277963417
25,2858,1277963420
25,344,1277963435
25,1198,1277963439
25,858,1277963460
25,364,1277963473
25,2028,1277963478
25,500,1277963486
25,1097,1277963513
25,2959,1277963517
25,1240,1277963524
25,4993,1277963529
25,1197,1277963534
25,587,1277963538
25,1265,1277963551
25,1136,1277963574
25,3578,1277963579
25,4306,1277963584
25,1291,1277963589
25,1193,1277963593
25,5952,1277963604
25,253,1277963607
25,2716,1277963619
25,586,1277963635
25,141,1277963657
25,21,1277963666
25,1961,1277963670
25,2683,1277963691
25,288,1277963726
25,3996,1277963735
25,111,1277963741
25,1089,1277963750
25,223,1277963771
25,2706,1277963773
25,919,1277963780
25,1517,1277963785
25,2987,1277963802
25,1307,1277963809
25,1968,1277963833
25,1387,1277963842
25,1258,1277963849
25,2918,1277963851
25,1101,1277963864
25,2174,1277963884
25,1080,1277963894
25,2115,1277963902
25,2797,1277963914
25,1079,1277963918
25,1246,1277963928
25,6377,1277963933
25,2502,1277963950
25,3147,1277963969
25,337,1277963984
25,1732,1277963987
25,4027,1277963998
25,2692,1277964446
25,52319,1277964502
31,260,1424733433
31,1196,1424733435
31,1210,1424733439
31,7153,1424733458
31,4993,1424733460
31,5952,1424733464
31,1270,1424733467
31,58559,1424733470
31,110,1424733473
31,76093,1424733475
31,59315,1424733489
31,8961,1424733513
